country_code,year,value
AFG,1960,285352.0
AFG,1961,300359.0
AFG,1962,316177.0
AFG,1963,332829.0
AFG,1964,350382.0
AFG,1965,368809.0
AFG,1966,388232.0
AFG,1967,408087.0
AFG,1968,428363.0
AFG,1969,449585.0
AFG,1970,471891.0
AFG,1971,495303.0
AFG,1972,528508.0
AFG,1973,573161.0
AFG,1974,621656.0
AFG,1975,674254.0
AFG,1976,731385.0
AFG,1977,793178.0
AFG,1978,860289.0
AFG,1979,932388.0
AFG,1980,977824.0
AFG,1981,1025339.0
AFG,1982,1075233.0
AFG,1983,1127555.0
AFG,1984,1182500.0
AFG,1985,1239961.0
AFG,1986,1300299.0
AFG,1987,1358525.0
AFG,1988,1419444.0
AFG,1989,1482916.0
AFG,1990,1549320.0
AFG,1991,1618697.0
AFG,1992,1691283.0
AFG,1993,1766910.0
AFG,1994,1846031.0
AFG,1995,1928694.0
AFG,1996,2015181.0
AFG,1997,2105292.0
AFG,1998,2199565.0
AFG,1999,2298059.0
AFG,2000,2401109.0
AFG,2001,2508477.0
AFG,2002,2620804.0
AFG,2003,2738161.0
AFG,2004,2834061.0
AFG,2005,2905178.0
AFG,2006,2978181.0
AFG,2007,3053018.0
AFG,2008,3129844.0
AFG,2009,3208383.0
AFG,2010,3289005.0
AFG,2011,3371653.0
AFG,2012,3456496.0
AFG,2013,3543232.0
AFG,2014,3632269.0
AFG,2015,3723543.0
AFG,2016,3817241.0
AFG,2017,3913297.0
AFG,2018,4011770.0
AFG,2019,4114030.0
AFG,2020,4221532.0
AFG,2021,4335770.0
AFG,2022,4457882.0
AFG,2023,4588666.0
AFG,2024,4728384.0
AFG,2025,4877024.0
AGO,1960,219427.0
AGO,1961,233134.0
AGO,1962,251373.0
AGO,1963,271039.0
AGO,1964,292274.0
AGO,1965,315108.0
AGO,1966,339760.0
AGO,1967,366341.0
AGO,1968,395043.0
AGO,1969,425905.0
AGO,1970,459225.0
AGO,1971,488590.0
AGO,1972,514050.0
AGO,1973,540761.0
AGO,1974,568901.0
AGO,1975,598504.0
AGO,1976,629692.0
AGO,1977,662412.0
AGO,1978,696882.0
AGO,1979,733145.0
AGO,1980,771349.0
AGO,1981,811430.0
AGO,1982,853654.0
AGO,1983,898124.0
AGO,1984,964072.0
AGO,1985,1034661.0
AGO,1986,1110527.0
AGO,1987,1191955.0
AGO,1988,1279479.0
AGO,1989,1373162.0
AGO,1990,1473848.0
AGO,1991,1581917.0
AGO,1992,1698075.0
AGO,1993,1822407.0
AGO,1994,1940528.0
AGO,1995,2066306.0
AGO,1996,2200426.0
AGO,1997,2342847.0
AGO,1998,2494701.0
AGO,1999,2656398.0
AGO,2000,2828820.0
AGO,2001,3011913.0
AGO,2002,3207133.0
AGO,2003,3415007.0
AGO,2004,3636670.0
AGO,2005,3872050.0
AGO,2006,4123021.0
AGO,2007,4390259.0
AGO,2008,4675223.0
AGO,2009,4977823.0
AGO,2010,5300466.0
AGO,2011,5644022.0
AGO,2012,6010365.0
AGO,2013,6399381.0
AGO,2014,6789357.0
AGO,2015,7023206.0
AGO,2016,7265449.0
AGO,2017,7515345.0
AGO,2018,7774200.0
AGO,2019,8044735.0
AGO,2020,8329798.000000001
AGO,2021,8631876.0
AGO,2022,8952496.0
AGO,2023,9292336.0
AGO,2024,9651032.0
AGO,2025,10027897.0
ALB,1960,134761.0
ALB,1961,137714.0
ALB,1962,139561.0
ALB,1963,141434.0
ALB,1964,143334.0
ALB,1965,145255.0
ALB,1966,147203.0
ALB,1967,149178.0
ALB,1968,151183.0
ALB,1969,153497.0
ALB,1970,156734.0
ALB,1971,160040.0
ALB,1972,163420.0
ALB,1973,166862.0
ALB,1974,170381.0
ALB,1975,173975.0
ALB,1976,177649.0
ALB,1977,181391.0
ALB,1978,185217.0
ALB,1979,189123.0
ALB,1980,193644.0
ALB,1981,198261.0
ALB,1982,202994.0
ALB,1983,207840.0
ALB,1984,212809.0
ALB,1985,217882.0
ALB,1986,223084.0
ALB,1987,228410.0
ALB,1988,233870.0
ALB,1989,239852.0
ALB,1990,247270.0
ALB,1991,254918.0
ALB,1992,262814.0
ALB,1993,270931.0
ALB,1994,279311.0
ALB,1995,287950.0
ALB,1996,296869.0
ALB,1997,306038.0
ALB,1998,315503.0
ALB,1999,325262.0
ALB,2000,335336.0
ALB,2001,344700.0
ALB,2002,351285.0
ALB,2003,357995.0
ALB,2004,364843.0
ALB,2005,371803.0
ALB,2006,378905.0
ALB,2007,386143.0
ALB,2008,393529.0
ALB,2009,401036.0
ALB,2010,408697.0
ALB,2011,416504.0
ALB,2012,424471.0
ALB,2013,432590.0
ALB,2014,440865.0
ALB,2015,449298.0
ALB,2016,457892.0
ALB,2017,466651.0
ALB,2018,475577.0
ALB,2019,484624.0
ALB,2020,493712.0
ALB,2021,502734.0
ALB,2022,511559.0
ALB,2023,520059.0
ALB,2024,528127.0
ALB,2025,535702.0
ARE,1960,33559.0
ARE,1961,35339.0
ARE,1962,37216.0
ARE,1963,39192.0
ARE,1964,41277.0
ARE,1965,43466.0
ARE,1966,45774.0
ARE,1967,48205.0
ARE,1968,52483.0
ARE,1969,61840.0
