country_code,year,value
ABW,1990,72.3108893004
ABW,2000,87.35285803815
ABW,2015,97.34080781558
AFE,1990,35883.61132623754
AFE,2000,47545.06873056384
AFE,2015,63984.12437678525
AFG,1990,1309.672466805
AFG,2000,2280.088881826
AFG,2015,3993.83610705
AFW,1990,30308.566274893088
AFW,2000,38443.687219003776
AFW,2015,51046.98769002802
AGO,1990,1559.94768115246
AGO,2000,2010.4416603827
AGO,2015,2991.3469865533
ALB,1990,596.86092547715
ALB,2000,790.05473415509
ALB,2015,827.69395654173
AND,1990,18.0436834805
AND,2000,31.854123801
AND,2015,30.9358154312
ARB,1990,47990.206198226966
ARB,2000,60338.913673355135
ARB,2015,76974.63256074858
ARE,1990,1060.873607515
ARE,2000,1386.317341611
ARE,2015,2263.10504571
ARG,1990,8570.4179461242
ARG,2000,10030.146186676
ARG,2015,11432.7305610191
ARM,1990,874.969537926
ARM,2000,887.446253324
ARM,2015,922.33502653
ASM,1990,11.913868005385
ASM,2000,11.913868005385
ASM,2015,23.43530367779
ATG,1990,26.25936951578
ATG,2000,28.94490906874
ATG,2015,31.86330246835
AUS,1990,10027.780417343
AUS,2000,10794.841680659
AUS,2015,11945.986036946
AUT,1990,2512.61623932
AUT,2000,2685.348713011
AUT,2015,2973.712010219
AZE,1990,1823.90461321
AZE,2000,2145.736266697
AZE,2015,2589.858867181
BDI,1990,416.061402492
BDI,2000,568.54775748
BDI,2015,887.842343383
BEL,1990,6642.2052147843
BEL,2000,6961.534982994
BEL,2015,7730.879239745
BEN,1990,1014.6356801175
BEN,2000,1413.5481945591
BEN,2015,2005.9093441513
BFA,1990,940.209081152
BFA,2000,1212.414139403
BFA,2015,1599.295141703
BGD,1990,46298.409398434
BGD,2000,51109.24139721
BGD,2015,56970.02069378
BGR,1990,2458.27458257894
BGR,2000,2298.23006524629
BGR,2015,2109.34419338666
BHR,1990,259.0865296102
BHR,2000,284.019768575
BHR,2015,330.2917370002
BHS,1990,160.81233098939
BHS,2000,177.94484822138
BHS,2015,203.74424328
BIH,1990,1316.158258267
BIH,2000,1469.420647608
BIH,2015,1641.927708162
BLR,1990,3179.480134043
BLR,2000,3170.850644675
BLR,2015,2882.604490276
BLZ,1990,67.2068537478
BLZ,2000,97.0804126788
BLZ,2015,122.899862862001
BMU,1990,33.36227176549
BMU,2000,34.09296538802
BMU,2015,41.96724761788
BOL,1990,1214.23819343
BOL,2000,1503.991444238
BOL,2015,1767.519043522
BRA,1990,34620.952425119
BRA,2000,41034.544256159
BRA,2015,45853.339612948
BRB,1990,160.61493280911
BRB,2000,174.79495313395
BRB,2015,187.58808114682
BRN,1990,115.2252348347
BRN,2000,164.2445019451
BRN,2015,199.17236852322
BTN,1990,11.49908491969
BTN,2000,14.42047259583
BTN,2015,28.60276836902
BWA,1990,489.3486319934
BWA,2000,659.12530727
BWA,2015,804.345993534
CAF,1990,354.0929459723
CAF,2000,438.3968809261
CAF,2015,535.375880953
CAN,1990,11777.1678717079
CAN,2000,12775.5617567098
CAN,2015,13983.1142967339
CEB,1990,34237.644893034056
CEB,2000,35476.858146824794
CEB,2015,36530.917976050565
CHE,1990,3066.311174795
CHE,2000,3388.774180366
CHE,2015,4016.815073034
CHL,1990,2594.7194166335
CHL,2000,3089.1963772392
CHL,2015,3579.6703573598
CHN,1990,362455.80240613
CHN,2000,436715.38991649
CHN,2015,522345.1853048
CIV,1990,1763.4252376137
CIV,2000,2333.2620025317
CIV,2015,2981.9568951999
CMR,1990,1564.19766063064
CMR,2000,1999.38691517046
CMR,2015,2352.11104215641
COD,1990,3519.05572167604
COD,2000,4835.31119500824
COD,2015,7232.34541936721
COG,1990,343.511781068176
COG,2000,444.171267163362
COG,2015,420.2625750865
COL,1990,4018.9784971614
COL,2000,4621.6506242638
COL,2015,5114.5584541567
COM,1990,65.589861280211
COM,2000,67.724593588121
COM,2015,142.53415404781
CPV,1990,48.22070506308
CPV,2000,54.82349151835
CPV,2015,59.554326767999
CRI,1990,963.9493329708
CRI,2000,1204.713390047
CRI,2015,1475.94358331317
CSS,1990,1519.806621123281
CSS,2000,1763.6547132404728
CSS,2015,2028.772979263312
CUB,1990,2455.196357536
CUB,2000,2749.245639152
CUB,2015,3053.18468179
CUW,1990,110.888002128329
CUW,2000,111.799224312409
CUW,2015,118.118928362573
CYM,1990,17.039544197728
CYM,2000,27.61728553966
CYM,2015,43.96772397219
CYP,1990,316.21280483177
CYP,2000,396.87767168529
CYP,2015,518.98037655244
CZE,1990,3545.584422921
CZE,2000,3671.506244637
CZE,2015,4023.3993128
DEU,1990,34563.291164689
DEU,2000,36535.101513222
DEU,2015,36996.443574016
DJI,1990,35.53196287717
DJI,2000,37.29893894311
DJI,2015,51.25016233939
DMA,1990,15.19067001625
DMA,2000,18.842637638535
DMA,2015,20.999402631043
DNK,1990,2017.3840957102
DNK,2000,2103.7653178079
DNK,2015,2235.4865365007
DOM,1990,1442.2313157003
DOM,2000,2007.750940419
DOM,2015,2504.4863586839
DZA,1990,5850.9057641325
DZA,2000,7652.3558361744
DZA,2015,9357.0997471495
EAP,1990,461053.2627512327
EAP,2000,563847.2807370737
EAP,2015,673759.8239908818
EAR,1990,345302.456907568
EAR,2000,437778.69741002464
EAR,2015,564689.5378024235
EAS,1990,539108.1318324044
EAS,2000,647364.9155908047
EAS,2015,761927.2870963378
ECA,1990,63489.369709786
ECA,2000,70463.09917245747
ECA,2015,76303.89114592902
ECS,1990,291322.40662026586
ECS,2000,310468.4738927737
ECS,2015,327818.30560936144
ECU,1990,1623.3629532055
ECU,2000,1984.9157484311
ECU,2015,2293.8454686048
EGY,1990,13257.800746638
EGY,2000,16023.085900475
EGY,2015,18917.96115821
EMU,1990,116756.85481154858
EMU,2000,125107.17126289327
EMU,2015,133590.540446038
ERI,1990,187.49975158554
ERI,2000,234.86606434972
ERI,2015,331.19181850798
ESP,1990,12524.454030086
ESP,2000,13941.633079322
ESP,2015,15655.069409499
EST,1990,346.34631663069
EST,2000,435.35259762988
EST,2015,449.97232757147
ETH,1990,2800.53822256
ETH,2000,3934.94802042
ETH,2015,5760.6647148
EUU,1990,150458.87791339454
EUU,2000,160018.47988739342
EUU,2015,169850.47151234478
FCS,1990,73383.16825422957
FCS,2000,89750.36186561034
FCS,2015,113393.9463037241
FIN,1990,1995.7169364328
FIN,2000,2121.4971932498
FIN,2015,2242.6594416467
FJI,1990,81.44603655778
FJI,2000,83.80931876143
FJI,2015,117.25678130726
FRA,1990,19344.025341062
FRA,2000,20827.760948228
FRA,2015,23030.660881956
FRO,1990,0.0
FRO,2000,0.0
FRO,2015,0.0
FSM,1990,4.395958186124
FSM,2000,4.395958186124
FSM,2015,7.519302931613
GAB,1990,236.83329412357
GAB,2000,268.99227458646
GAB,2015,311.59997007957
GBR,1990,21541.503078803
GBR,2000,21830.391507229
GBR,2015,22675.976252161
GEO,1990,1413.32467206181
GEO,2000,1348.86491755873
GEO,2015,1130.1634098862
GHA,1990,3298.2838473911
GHA,2000,4195.5921859384
GHA,2015,5559.5497888859
GIB,1990,7.398828951639
GIB,2000,7.398828951639
GIB,2015,7.398828951639
GIN,1990,810.73282096936
GIN,2000,1090.31591525
GIN,2015,1390.66357912241
GMB,1990,176.6985472552
GMB,2000,258.09768922724
GMB,2015,338.74891276451
GNB,1990,133.1412343813
GNB,2000,164.24678315426
GNB,2015,196.26400685892
GNQ,1990,79.26024406695
GNQ,2000,104.61637445089
GNQ,2015,136.73434418639
GRC,1990,2370.8795704057
GRC,2000,2664.3333004573
GRC,2015,2748.6634607268
GRD,1990,44.09126916462
GRD,2000,63.28370897771
GRD,2015,68.51966222491
GRL,1990,0.912475598976
GRL,2000,2.5829688655263
GRL,2015,2.5829688655263
GTM,1990,1587.44832249959
GTM,2000,2177.21079543308
GTM,2015,2900.62182785529
GUM,1990,76.92088804301
GUM,2000,79.73729674423
GUM,2015,83.79810474723
GUY,1990,160.317344807576
GUY,2000,169.319712959876
GUY,2015,165.726375442426
HIC,1990,482029.50958063087
HIC,2000,524480.4631798441
HIC,2015,567892.4251238161
HKG,1990,445.3223398818
HKG,2000,484.37334152877
HKG,2015,516.71372699086
HND,1990,817.13705643949
HND,2000,1125.80097481509
HND,2015,1576.92823835852
HPC,1990,39734.98106688315
HPC,2000,52662.49232658162
HPC,2015,72874.91650385827
